mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
fixed_top10_full,Fixed Top-10,fixed_top10,full,180,10,3439,80,3519,provider,8781,0.333333,0.48,0.556533,1.0,1.0,"[""16966326"", ""9217800"", ""6636088"", ""13380011"", ""40631095"", ""12149169"", ""6492658"", ""34121231"", ""21219071"", ""1771079""]","The evidence is insufficient to directly answer the question. However, Document 1 provides information about the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6. It states that TDP-43 impairs the expression of ND3 and ND6, leading to complex I disassembly and neuronal loss. While it does not explicitly state the effect of blocking the interaction between TDP-",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,180,3,702,80,782,provider,6058,0.275862,0.36,0.404505,1.0,1.0,"[""16966326"", ""9217800"", ""6636088""]","The evidence is insufficient to directly answer the question. While Document 1 mentions that TDP-43 binds to mitochondria-transcribed messenger RNAs (mRNAs) encoding respiratory complex I subunits ND3 and ND6, impairing their expression and causing complex I disassembly, it does not specifically state what happens when the interaction between TDP-43 and these proteins is blocked. It does",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,180,3,1082,80,1162,provider,2998,0.275862,0.36,0.409236,1.0,1.0,"[""16966326"", ""9217800"", ""6636088""]","The evidence is insufficient to directly answer the question. While Document 1 mentions that TDP-43 binds to mitochondria-transcribed messenger RNAs (mRNAs) encoding respiratory complex I subunits ND3 and ND6, impairing their expression and causing complex I disassembly, it does not specifically state what happens when the interaction between TDP-43 and these proteins is blocked. It only",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,180,5,1258,80,1338,provider,2362,0.305882,0.4,0.490828,1.0,1.0,"[""16966326"", ""9217800"", ""6636088"", ""13380011"", ""40631095""]","The evidence is insufficient to directly answer the question. While Document 1 mentions that TDP-43 binds to mitochondria-transcribed messenger RNAs (mRNAs) encoding respiratory complex I subunits ND3 and ND6, impairing their expression and causing complex I disassembly, it does not specifically discuss the effect of blocking the interaction between TDP-43 and ND3/ND6 on",False,,1338,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,180,3,702,80,782,provider,2368,0.275862,0.36,0.404505,1.0,1.0,"[""16966326"", ""9217800"", ""6636088""]","The evidence is insufficient to directly answer the question. While Document 1 mentions that TDP-43 binds to mitochondria-transcribed messenger RNAs (mRNAs) encoding respiratory complex I subunits ND3 and ND6, impairing their expression and causing complex I disassembly, it does not specifically state what happens when the interaction between TDP-43 and these proteins is blocked. It does",False,,782,0
fixed_top10_full,Fixed Top-10,fixed_top10,full,183,10,2832,80,2912,provider,2375,0.232558,0.428571,0.507602,0.0,0.0,"[""46193388"", ""23032247"", ""8137081"", ""10078024"", ""7583161"", ""3758260"", ""43619625"", ""4380004"", ""44562221"", ""9412420""]","The evidence is insufficient to directly answer the question of whether bone marrow cells contribute to adult macrophage compartments. While the documents discuss the role of bone marrow cells in various processes, including hematopoiesis, osteogenesis, and immune cell function, they do not provide explicit information on the contribution of bone marrow cells to adult macrophage compartments. However, Document 3 mentions the recruitment of CD",False,,0,0
adaptive_compact_only,Adaptive Compact Only,adaptive_budget,evidence_ngram_neighbors,183,3,593,80,673,provider,2117,0.275,0.47619,0.546643,0.0,0.0,"[""46193388"", ""23032247"", ""8137081""]","The evidence is insufficient to directly confirm that bone marrow cells contribute to adult macrophage compartments. While the documents mention bone marrow cells, stem cells, and hematopoietic lineages, they do not explicitly state the contribution of bone marrow cells to adult macrophage compartments. However, Document 3 mentions ""increased myelopoiesis in the bone marrow"" which is related to the",False,,0,0
adaptive_full_only,Adaptive Full Only,adaptive_budget,full,183,3,706,73,779,provider,2070,0.333333,0.571429,0.520774,0.0,0.0,"[""46193388"", ""23032247"", ""8137081""]","The evidence is insufficient to directly confirm that bone marrow cells contribute to adult macrophage compartments. While Document 3 mentions the mobilization of monocytes (which are precursors to macrophages) from the bone marrow, it does not explicitly state that bone marrow cells contribute to adult macrophage compartments. More direct evidence is needed to confirm this claim.",False,,0,0
fixed_top5_compact_fallback,Fixed Top-5 Compact + Fallback,fixed_top5,compact_then_full_fallback,183,5,861,80,941,provider,2416,0.289157,0.52381,0.539164,0.0,0.0,"[""46193388"", ""23032247"", ""8137081"", ""10078024"", ""7583161""]","The evidence is insufficient to directly confirm that bone marrow cells contribute to adult macrophage compartments. While the documents mention bone marrow cells, hematopoietic lineages, and immune cells, they do not explicitly state the contribution of bone marrow cells to adult macrophage compartments. Macrophages are a type of myeloid cell, and Document 1 mentions that bone marrow stem cells give rise",False,,941,0
full_safe_adaptive,Full Safe Adaptive Context,safe_adaptive,compact_then_full_fallback,183,3,593,80,673,provider,2170,0.275,0.47619,0.546643,0.0,0.0,"[""46193388"", ""23032247"", ""8137081""]","The evidence is insufficient to directly confirm that bone marrow cells contribute to adult macrophage compartments. While the documents mention bone marrow cells, stem cells, and hematopoietic lineages, they do not explicitly state the contribution of bone marrow cells to adult macrophage compartments. However, Document 3 mentions ""increased myelopoiesis in the bone marrow"" which is related to the",False,,673,0
